price_text,beds,baths,area,address,area_unit,link
PKR 1 Lakh,4,4,240,Federal B Area - Block 5 Lower Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_5_ground_floor_portion_available_for_rent-53580453-6689-4.html
PKR 95 Thousand,3,4,185,Federal B Area - Block 8 Flats,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_8_3-bedroom_drawing_dining_apartment_for_rent_al_khaleej_towers_f_b_area_block_8-53578047-6692-4.html
PKR 99 Thousand,3,3,200,Federal B Area - Block 12 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_brand_new_first_floor_three_bedrooms_d_l_available_for_rent_fb_area_block_12-53596802-6696-4.html
PKR 75 Thousand,3,3,156,Federal B Area - Block 6 Flats,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_6_three_bedrooms_d_l_flat_available_for_rent_fb_area_block_6-53588574-6690-4.html
PKR 80 Thousand,3,3,200,Federal B Area - Block 12 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_1st_floor_available_for_rent_federal_b_area_block_12-53487339-6696-4.html
PKR 25 Thousand,2,1,120,Federal B Area - Block 14 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_14_second_floor_2_bed_launch_for_rent_in_federal_b_area_block_14-53521156-6698-4.html
PKR 52 Thousand,2,2,120,Federal B Area - Block 8 Houses,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_8_portion_for_rent_in_de_comforts_society-52330229-6692-4.html
PKR 95 Thousand,2,2,300,Federal B Area - Block 13 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_13_first_floor_two_bedrooms_drawing_tv_lounge_kitchen_available_for_rent_fb_area-53554433-6697-4.html
PKR 60 Thousand,2,2,200,Federal B Area - Block 10 Lower Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_10_well_maintained_portion-53495670-6694-4.html
PKR 90 Thousand,5,2,200,Federal B Area - Block 16 Lower Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_16_commercial_ground_floor_for_rent_main_cardio_road_fb_area_block_16_karachi-53630389-6700-4.html
PKR 70 Thousand,3,4,120,Federal B Area - Block 21 Houses,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_21_independent_house_for_rent-53635072-6705-4.html
PKR 70 Thousand,3,3,120,Federal B Area - Block 14 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_14_1st_floor_portion_for_rent_in_federal_b_area_block_14-53632268-6698-4.html
PKR 55 Thousand,2,2,120,Federal B Area - Block 16 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_16_portion_available_for_rent-53635555-6700-4.html
PKR 40 Thousand,1,1,200,Federal B Area - Block 12 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_availabke_house_for_rent_in_block12_fba_karachi_2nd_floor_1_big_room_1_attached_bath_1_terrace_1_kitchen_mosaic_flooring_wash_room_tile_flooring_suitable_for_small_family-53628852-6696-4.html
PKR 90 Thousand,3,3,178,Federal B Area - Block 8 Flats,Sq. Yd,https://www.zameen.com/Property/federal_b_area_block_8_de_comforts_spacious_3_bed_dd_apartment_for_rent_in_al_khaleej_tower_fb_area_block_8-53620063-10863-4.html
PKR 65 Thousand,2,3,200,Federal B Area - Block 12 Houses,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_2nd_floor_2_bedroom_drawing_lounge_with_two_attached_bathrooms_one_common_bathroom-53624201-6696-4.html
PKR 1 Lakh,3,3,200,Federal B Area - Block 12 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_beautiful_new_portion-53367705-6696-4.html
PKR 80 Thousand,,,120,Federal B Area - Block 17 Houses,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_17_independent_house_ground_plus_one_block_17_available_for_rent-53604919-6701-4.html
PKR 90 Thousand,3,3,189,Federal B Area - Block 8 Flats,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_8_3_bed_dd_flat_available_for_rent_al_khaleej_tower-53613468-6692-4.html
PKR 50 Thousand,2,2,122,Federal B Area - Block 9 Flats,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_9_project_name_shamim_sky_tower_to_bed_dd_apartment_with_reserve_car_parking_and_standby_generator_stand-53614131-6693-4.html
PKR 57 Thousand,2,3,120,Federal B Area - Block 2 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_2_upper_portion_for_urgent_rent-52705980-6686-4.html
PKR 1 Lakh,3,3,200,Federal B Area - Block 12 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_first_floor_portion_like_new_for_rent-53606291-6696-4.html
PKR 1 Lakh,3,3,240,Federal B Area - Block 4 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_4_well_maintained_portion-53608187-6688-4.html
PKR 25 Thousand,2,1,60,Federal B Area - Block 8 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_8_1st_floor_60_sq_yds_fb_area_block_8_2_bed_room_to_room_1_kitchen_1_common_bath_with_tile_flooring_available_for_rent-53610041-6692-4.html
PKR 45 Thousand,2,5,110,Federal B Area - Block 12 Flats,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_fb_area_two_bed_d_l_flat_for_rent_2nd_floor_chand_market_lift_gas_available_for_rent-53609567-6696-4.html
PKR 40 Thousand,2,2,106,Federal B Area - Block 9 Flats,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_9_book_a_prime_location_950_square_feet_flat_in_federal_b_area_-_block_9-53588890-6693-4.html
PKR 32 Thousand,1,1,44,Federal B Area - Block 11 Flats,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_11_1_bed_lounge_available_for_rent_3rd_floor_only_for_bachelor_at_federal_b_area_block_11-53553672-6695-4.html
PKR 1 Lakh,3,3,400,Federal B Area - Block 13 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_13_well_maintained_portion-53601677-6697-4.html
PKR 95 Thousand,3,3,200,Federal B Area - Block 9 Houses,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_9_corner_200_square_yards_house_in_federal_b_area_-_block_9_for_rent-53492855-6693-4.html
PKR 60 Thousand,2,2,400,Federal B Area - Block 11 Houses,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_11_2nd_floor_2_bed_lounge_with_2_car_parking_space-53281969-6695-4.html
PKR 70 Thousand,3,3,150,Federal B Area - Block 8 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_8_1_floor_3_bed_dd_portion_available_for_rent-53389899-6692-4.html
PKR 80 Thousand,3,3,200,Federal B Area - Block 12 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_looking_for_a_prime_location_brand_new_upper_portion_in_federal_b_area_-_block_12_karachi-52876126-6696-4.html
PKR 1 Lakh,3,3,120,Federal B Area - Block 2 Houses,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_2_independent_house_available_for_rent-53176050-6686-4.html
PKR 32 Thousand,3,1,120,Federal B Area - Block 9 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_9_upper_portion_for_urgent_rent-53223005-6693-4.html
PKR 95 Thousand,3,3,200,Federal B Area - Block 12 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_200_square_yards_upper_portion_for_rent_in_federal_b_area-53527936-6696-4.html
PKR 46 Thousand,2,2,200,Federal B Area - Block 12 Lower Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_ground_floor_2_bedrooms_drawing_lounge_vip_location_with_car_parking-50600614-6696-4.html
PKR 85 Thousand,2,3,400,Federal B Area - Block 13 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_13_prime_location_400_square_yards_upper_portion_in_federal_b_area_for_rent_at_good_location-53527939-6697-4.html
PKR 70 Thousand,2,2,117,Federal B Area - Block 8 Flats,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_8_2_bed_dd_for_rent_in_al_khaleej_towers-53116673-6692-4.html
PKR 80 Thousand,2,3,200,Federal B Area - Block 12 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_prime_location_200_square_yards_upper_portion-53527934-6696-4.html
PKR 80 Thousand,2,3,200,Federal B Area - Block 12 Lower Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_get_an_attractive_prime_location_lower_portion_in_karachi_under_rs_80000-53527935-6696-4.html
PKR 90 Thousand,2,3,400,Federal B Area - Block 10 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_10_idyllic_prime_location_upper_portion_available_in_federal_b_area_-_block_10_for_rent-53527940-6694-4.html
PKR 95 Thousand,4,4,400,Federal B Area - Block 13 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_13_1st_floor_portion_for_rent-53538931-6697-4.html
PKR 72 Thousand,2,2,200,Federal B Area - Block 12 Upper Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_12_prime_location_upper_portion_for_grabs_in_200_square_yards_karachi-53527937-6696-4.html
PKR 95 Thousand,3,3,240,Federal B Area - Block 9 Houses,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_9_corner_240_square_yards_house_situated_in_federal_b_area_-_block_9_for_rent-53492856-6693-4.html
PKR 45 Thousand,2,2,175,Federal B Area - Block 11 Lower Portions,Sq. Yd,https://www.zameen.com/Property/federal_b_area_federal_b_area_-_block_11_well_maintained_portion-53525208-6695-4.html
